Title,Price,Link
(DIY)B760平台【天下無雙】(I7-14700F/B760/32GD5/1TB SSD/RTX4090/850W/DIY自選升級),93500.0,https://24h.pchome.com.tw/prod/DSAUGX-C900H93FR
B760平台【龍行天下W-X】 i7二十核RTX4090遊戲繪圖WIN11電腦,93500.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H9PC0
ROG Strix SCAR 18 G834JY-0031A13980HX-NBL 電競筆電 (i9-13980HX/16G+16G/1TB+2TB/RTX4090/W11)特仕,93999.0,https://24h.pchome.com.tw/prod/DHABAC-A900HT2LL
福利品 ASUS ROG Strix SCAR 18 G834JY-0031A13980HX-NBLi9-13980HX  16G+16G  1T+2T SSD  RTX4090-16G  QHD  240Hz  18,93999.0,https://24h.pchome.com.tw/prod/DHAS6K-A900HNW5N
B760平台【錦衣夜行W-X】 i7二十核RTX4090遊戲繪圖WIN11電腦,94300.0,https://24h.pchome.com.tw/prod/DSAURA-A900H9IIK
B760平台【破陣戰矛W-X】 i7二十核RTX4090遊戲繪圖WIN11電腦,94800.0,https://24h.pchome.com.tw/prod/DSAUR0-A900HA33R
Vector GP78HX 17吋 電競筆電灰色(i9-13980HX/64GB/2TB/RTX 4090-16G/WIN11PRO/13VI-488TW),94900.0,https://24h.pchome.com.tw/prod/DHAK5T-A900H14EJ
ROG Strix SCAR 18 G834JY-0031A13980HX-NBL 電競筆電 (i9-13980HX/16G+32G/1TB+1TB/RTX4090/W11)特仕,94999.0,https://24h.pchome.com.tw/prod/DHABAC-A900HT2LW
B760平台【密咒之刃VII】 i9二十四核RTX4090遊戲繪圖電腦,95700.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H2PFG
Z790平台【無雙X】 i7二十核RTX4090遊戲繪圖電腦,95800.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H49M9
Z790平台【暗影戰神IX】 i7二十核RTX4090遊戲水冷電腦,95800.0,https://24h.pchome.com.tw/prod/DSAURA-A900H9J8A
ROG Strix SCAR 18 G834JY-0031A13980HX-NBLi9-13980HX  16G+16G  1T+1T SSD  RTX4090-16G  QHD  240Hz  18,95999.0,https://24h.pchome.com.tw/prod/DHABAC-A900GLIWV
ROG Strix SCAR G834JY-0031A13980HX-NBL (i9-13980HX/32G/1TB+1TB PCIe/RTX 4090/18/W11),95999.0,https://24h.pchome.com.tw/prod/DHABGF-A900G9REE
B760平台【蒼炎之刃IX】 i9二十四核RTX4090遊戲繪圖電腦,96000.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H4X12
【電競聲霸組】Vector GP78HX 17吋 電競筆電灰色(i9-13980HX/64GB/2TB/RTX 4090-16G/WIN11PRO/13VI-488TW),96500.0,https://24h.pchome.com.tw/prod/DHAKB4-1900H36M4
【護眼桌燈組】Vector GP78HX 17吋 電競筆電灰色(i9-13980HX/64GB/2TB/RTX 4090-16G/WIN11PRO/13VI-488TW),96500.0,https://24h.pchome.com.tw/prod/DHAKB5-1900H4F5I
【1TB行動硬碟組】Vector GP78HX 17吋 電競筆電灰色(i9-13980HX/64GB/2TB/RTX 4090-16G/WIN11PRO/13VI-488TW),96500.0,https://24h.pchome.com.tw/prod/DHAK8K-1900HMM0B
B760平台【緋紅刺客VII】 i9二十四核RTX4090遊戲繪圖電腦,97000.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H2UQP
(DIY)絢輝龍R4AC(i5-14500/Z790/32G/1TB M.2/RTX 4090),97290.0,https://24h.pchome.com.tw/prod/DSAURK-A900HR33G
B760平台【冰魄神將IX】 i9二十四核RTX4090遊戲繪圖電腦,98300.0,https://24h.pchome.com.tw/prod/DSAURA-A900H4NXG
B760平台【極速狂飆IX】 i9二十四核RTX4090遊戲繪圖電腦,98500.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H500G
(DIY)Z790平台【石破天機】I7二十核RTX4090電競電腦(I7-14700F/Z790/RTX4090/16G/500G SSD/1TB HDD),98552.0,https://24h.pchome.com.tw/prod/DSAURD-A900GC6KZ
Z790平台【冰雪奇緣VIII】 i7二十核RTX4090水冷遊戲電腦,98700.0,https://24h.pchome.com.tw/prod/DSAURA-A900GQOZR
(DIY)Z790平台【西楚霸王】(I9-14900F/Z790/32GD5/1TB SSD/RTX4090/850W/DIY自選升級),99000.0,https://24h.pchome.com.tw/prod/DSAUGX-C900H93G8
(DIY)Z790平台【功不可沒】I7二十核RTX4090電競電腦(I7-14700F/Z790/RTX4090/32G/500GSSD/1TBHDD),99336.0,https://24h.pchome.com.tw/prod/DSAURD-A900GC6ND
(DIY)偃月刀R7CC(i7-12700K/Z790/32G/1TB M.2/RTX 4090),99490.0,https://24h.pchome.com.tw/prod/DSAURK-A900HR3IX
B760平台【希望之星VI】 i9二十四核RTX4090遊戲繪圖電腦,99500.0,https://24h.pchome.com.tw/prod/DSAURA-A900H2U0Q
B760平台【密咒之刃W-VII】 i9二十四核RTX4090遊戲繪圖WIN11電腦,99500.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H2PP5
Z790平台【暗影戰神W-IX】 i7二十核RTX4090遊戲水冷WIN11電腦,99600.0,https://24h.pchome.com.tw/prod/DSAURA-A900H9M5M
(DIY)Z790平台【雷雨奇兵】I7二十核RTX4090電競電腦(I7-14700F/Z790/RTX4090/16G/1TBSSD/2TBHDD),99765.0,https://24h.pchome.com.tw/prod/DSAURD-A900GCEDD
B760平台【蒼炎之刃W-IX】 i9二十四核RTX4090遊戲繪圖WIN11電腦,99800.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H4XK0
ROG Strix SCAR 18 G834JY-0031A13980HX-NBL 電競筆電 (i9-13980HX/16G+32G/1TB+1TB/RTX4090/W11)特仕,99999.0,https://24h.pchome.com.tw/prod/DHABAC-A900HT2I5
ROG Strix SCAR 18 G834JY-0031A13980HX-NBL 電競筆電 (i9-13980HX/16G+16G/1TB+2TB/RTX4090/W11)特仕,99999.0,https://24h.pchome.com.tw/prod/DHABAC-A900HSZ9L
Z790平台【無雙W-X】 i7二十核RTX4090遊戲繪圖WIN11電腦,100000.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H49R7
Z790平台【諾曼地X】 i7二十核RTX4090遊戲水冷電腦,100500.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H3ZJP
Z790平台【兵臨城下】I7二十核RTX4090電競電腦(I7-14700F/Z790/RTX4090/32G/1TBSSD/2TBHDD),100549.0,https://24h.pchome.com.tw/prod/DSAURD-A900GCEEM
(DIY)B760平台【妖武】(I7-14700KF/B760/64GD5/1TB SSD/RTX4090/850W/DIY自選升級),101000.0,https://24h.pchome.com.tw/prod/DSAUW3-C900HF5HK
(DIY)絢輝龍R4ACW(i5-14500/Z790/32G/1TB M.2/RTX 4090/Win11),101090.0,https://24h.pchome.com.tw/prod/DSAURK-A900HR4V9
B760平台【緋紅刺客W-VII】 i9二十四核RTX4090遊戲繪圖WIN11電腦,101200.0,https://24h.pchome.com.tw/prod/DSAUR0-A900H2US3
【南紡購物中心】 鈔省價 i9-14900K+華碩 ROG MAXIMUS Z790 DARK HERO D5 ATX主機板+華碩 TUF-RTX4090-O24G-GAMING 顯示卡,101288.0,https://24h.pchome.com.tw/prod/DSBC0B-A900HQ3WJ
(DIY)絢輝龍R4BC(i5-14500/Z790/64G/1TB M.2/RTX 4090),101490.0,https://24h.pchome.com.tw/prod/DSAURK-A900HR33J
